Time,Channel A,Channel B
(s),(mV),(V)

0.03164437,5.69170200,-0.00347911
0.03171581,5.15762800,0.00103763
0.03178724,4.31836900,-0.00061037
0.03185867,3.90636900,0.00067141
0.03193010,4.66933200,-0.00198370
0.03200153,3.14340600,-0.00106815
0.03207297,4.39466500,-0.00128178
0.03214440,6.82088700,0.00164800
0.03221583,4.51673900,0.00006104
0.03228726,4.21155400,-0.00100711
0.03235869,5.38651700,-0.00122074
0.03243013,4.69985000,-0.00045778
0.03250156,7.12607100,-0.00158696
0.03257299,4.44044300,-0.00158696
0.03264442,5.31022000,-0.00296030
0.03271585,3.06711000,-0.00024415
0.03278729,5.31022000,0.00082400
0.03285872,5.34073900,-0.00030519
0.03293015,6.33259000,0.00112919
0.03300158,4.66933200,-0.00228889
0.03307301,4.28785000,-0.00122074
0.03314445,7.81273800,-0.00039674
0.03321588,9.33866300,0.00097659
0.03328731,3.29599900,-0.00054933
0.03335874,8.37733000,-0.00085452
0.03343017,6.10370200,-0.00189215
0.03350161,8.80458900,-0.00015259
0.03357304,4.21155400,-0.00122074
0.03364447,5.53910900,-0.00085452
0.03371590,7.40073800,0.00088504
0.03378733,4.62355400,0.00067141
0.03385877,3.55540600,0.00012207
0.03393020,5.18814600,-0.00061037
0.03400163,7.04977500,0.00027467
0.03407306,5.79851600,-0.00167852
0.03414449,5.26444200,0.00057985
0.03421593,3.83007300,0.00000000
0.03428736,7.47703500,-0.00354015
0.03435879,4.21155400,0.00125126
0.03443022,3.90636900,-0.00030519
0.03450165,4.36414700,0.00164800
0.03457309,5.38651700,-0.00347911
0.03464452,6.22577600,-0.00128178
0.03471595,6.07318300,0.00027467
0.03478738,3.86059100,0.00006104
0.03485881,7.50755300,0.00268563
0.03493025,5.15762800,-0.00061037
0.03500168,3.55540600,0.00067141
0.03507311,5.26444200,-0.00009156
0.03514454,5.34073900,-0.00183111
0.03521597,5.53910900,-0.00106815
0.03528741,7.12607100,-0.00439467
0.03535884,4.36414700,0.00186163
0.03543027,1.66325900,0.00082400
0.03550170,5.95110900,0.00036622
0.03557313,4.16577600,0.00103763
0.03564457,7.43125700,0.00262459
0.03571600,2.65511000,0.00021363
0.03578743,6.10370200,0.00000000
0.03585886,5.46281300,0.00149541
0.03593029,4.47096200,-0.00228889
0.03600173,6.48518300,0.00027467
0.03607316,7.73644200,0.00119022
0.03614459,6.28681300,-0.00302133
0.03621602,5.00503500,0.00119022
0.03628745,4.36414700,-0.00234993
0.03635889,6.33259000,-0.00286874
0.03643032,5.64592400,-0.00439467
0.03650175,7.32444200,-0.00439467
0.03657318,6.79036800,-0.00100711
0.03664461,6.36310900,0.00000000
0.03671605,7.27866400,-0.00189215
0.03678748,6.28681300,-0.00213630
0.03685891,7.47703500,0.00067141
0.03693034,4.47096200,-0.00106815
0.03700177,5.61540600,-0.00085452
0.03707321,4.24207300,-0.00228889
0.03714464,4.08948000,0.00051881
0.03721607,3.11288800,-0.00311289
0.03728750,4.47096200,-0.00030519
0.03735893,5.38651700,-0.00219733
0.03743037,2.99081400,-0.00158696
0.03750180,5.38651700,0.00082400
0.03757323,2.04474000,-0.00189215
0.03764466,6.33259000,-0.00054933
0.03771609,6.36310900,0.00247200
0.03778753,4.62355400,-0.00085452
0.03785896,6.02740500,-0.00384533
0.03793039,4.05896100,-0.00030519
0.03800182,4.85244300,-0.00024415
0.03807325,1.92266600,0.00036622
0.03814469,4.51673900,0.00021363
0.03821612,2.80770300,-0.00552385
0.03828755,5.15762800,-0.00280770
0.03835898,6.17999800,-0.00296030
0.03843041,3.90636900,0.00036622
0.03850185,5.18814600,-0.00143437
0.03857328,7.24814600,-0.00015259
0.03864471,3.14340600,-0.00076296
0.03871614,5.03555400,-0.00137333
0.03878757,6.10370200,-0.00085452
0.03885901,5.23392400,0.00082400
0.03893044,5.23392400,-0.00024415
0.03900187,4.21155400,-0.00024415
0.03907330,4.80666500,0.00210578
0.03914473,3.86059100,-0.00454726
0.03921617,5.56962800,-0.00384533
0.03928760,5.46281300,-0.00265511
0.03935903,6.63777500,0.00057985
0.03943046,8.07214500,-0.00228889
0.03950189,4.92873900,-0.00106815
0.03957333,4.36414700,-0.00085452
0.03964476,3.98266500,-0.00552385
0.03971619,4.05896100,-0.00045778
0.03978762,7.04977500,-0.00280770
0.03985905,4.92873900,0.00006104
0.03993049,4.31836900,0.00112919
0.04000192,7.50755300,-0.00152593
0.04007335,3.67748000,-0.00076296
0.04014478,3.83007300,0.00097659
0.04021621,2.83822100,-0.00363170
0.04028765,4.08948000,0.00247200
0.04035908,5.41703500,-0.00152593
0.04043051,6.43940500,-0.00183111
0.04050194,3.60118400,-0.00198370
0.04057337,3.98266500,-0.00091556
0.04064481,5.95110900,0.00262459
0.04071624,1.61748100,-0.00280770
0.04078767,6.25629400,-0.00271615
0.04085910,6.71407200,-0.00219733
0.04093053,6.28681300,-0.00311289
0.04100197,5.49333100,-0.00152593
0.04107340,3.86059100,-0.00091556
0.04114483,5.08133200,-0.00085452
0.04121626,2.83822100,-0.00122074
0.04128769,7.43125700,0.00216681
0.04135913,4.77614600,-0.00091556
0.04143056,6.28681300,0.00210578
0.04150199,5.72222000,-0.00137333
0.04157342,3.78429500,-0.00128178
0.04164485,5.61540600,-0.00213630
0.04171629,5.08133200,-0.00250252
0.04178772,4.05896100,0.00027467
0.04185915,3.40281400,-0.00271615
0.04193058,6.02740500,-0.00271615
0.04200201,2.42622100,0.00112919
0.04207345,5.49333100,-0.00015259
0.04214488,3.52488800,0.00149541
0.04221631,5.69170200,-0.00152593
0.04228774,2.73140600,0.00006104
0.04235917,1.96844400,-0.00158696
0.04243061,3.37229500,-0.00369274
0.04250204,3.47911000,0.00180059
0.04257347,4.92873900,-0.00030519
0.04264490,4.62355400,-0.00024415
0.04271633,4.24207300,-0.00302133
0.04278777,2.73140600,0.00000000
0.04285920,3.32651700,0.00051881
0.04293063,4.08948000,-0.00039674
0.04300206,3.63170200,-0.00045778
0.04307349,5.41703500,0.00170904
0.04314493,5.41703500,-0.00039674
0.04321636,3.03659200,-0.00024415
0.04328779,5.64592400,-0.00228889
0.04335922,1.96844400,0.00155644
0.04343065,5.08133200,0.00027467
0.04350209,0.90029600,0.00088504
0.04357352,2.15155500,-0.00537126
0.04364495,0.67140720,0.00231941
0.04371638,4.31836900,-0.00015259
0.04378781,2.91451700,0.00073244
0.04385925,0.90029600,-0.00219733
0.04393068,3.29599900,-0.00173956
0.04400211,3.90636900,0.00149541
0.04407354,4.28785000,0.00180059
0.04414497,4.24207300,-0.00183111
0.04421641,2.99081400,-0.00204474
0.04428784,5.03555400,0.00125126
0.04435927,5.56962800,-0.00250252
0.04443070,2.60933200,-0.00143437
0.04450213,4.28785000,-0.00061037
0.04457357,3.98266500,-0.00280770
0.04464500,4.01318400,0.00097659
0.04471643,1.84637000,-0.00143437
0.04478786,1.40385100,0.00277718
0.04485929,3.67748000,-0.00286874
0.04493073,3.21970200,0.00186163
0.04500216,3.75377700,-0.00085452
0.04507359,4.24207300,-0.00152593
0.04514502,2.76192500,0.00155644
0.04521645,4.77614600,-0.00143437
0.04528789,3.03659200,-0.00070193
0.04535932,0.41199990,-0.00045778
0.04543075,2.04474000,0.00006104
0.04550218,4.51673900,0.00149541
0.04557361,2.60933200,-0.00061037
0.04564505,1.73955500,0.00277718
0.04571648,3.06711000,-0.00045778
0.04578791,2.07525800,-0.00167852
0.04585934,3.17392500,-0.00256356
0.04593077,-0.50355540,0.00329600
0.04600221,4.31836900,-0.00015259
0.04607364,3.67748000,-0.00100711
0.04614507,3.86059100,-0.00234993
